Ano;Região;UF;Código do Município;Nome do Município;Localização;Dependência Administrativa;Total  ;1ª série;2ª série;3ª série;4ª série;Não-Seriado
2019;Sudeste;SP;3502507;Aparecida;Urbana;Pública;1,6;2,3;0,8;1,7;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Total;0;0;0;0;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Total;0;0;0;0;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Estadual;0;0;0;0;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Total;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3502606;Aparecida d'Oeste;Urbana;Pública;0;0;0;0;--;--
2019;Sudeste;SP;3502705;Apiaí;Total;Total;1,3;0,7;0,8;1,9;--;--
2019;Sudeste;SP;3502705;Apiaí;Urbana;Total;1,5;1;0,7;2,7;--;--
2019;Sudeste;SP;3502705;Apiaí;Rural;Total;0,4;0;1,3;0;--;--
2019;Sudeste;SP;3502705;Apiaí;Total;Estadual;1,3;0,8;0,8;2;--;--
2019;Sudeste;SP;3502705;Apiaí;Urbana;Estadual;1,5;1;0,8;2,9;--;--
2019;Sudeste;SP;3502705;Apiaí;Rural;Estadual;0,4;0;1,3;0;--;--
2019;Sudeste;SP;3502705;Apiaí;Total;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3502705;Apiaí;Urbana;Municipal;--;--;--;--;--;--
