Ano;Região;UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Localização;Dependência Administrativa;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono;Taxa de Abandono
2019;Sudeste;SP;3501608;Americana;35280975;MILTON SANTOS PROFESSOR CENTRO INTEGRADO EDUCACAO PUBLICA;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35287222;BRASILEIRO DE EDUCACAO COLEGIO;Urbana;Privada;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35297793;MARIA NILDE MASCELLANI CENTRO INTEGRADO DE EDUCACAO PUBLICA;Urbana;Municipal;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35435442;MARIA FRIZZARIN PROFA;Urbana;Estadual;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35435454;MARIA DO CARMO AUGUSTI PROFA;Urbana;Estadual;1,3;3,2;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35499778;ILIMIT EDUCACIONAL;Urbana;Privada;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35563365;COLEGIO CRISTAO UNICO;Urbana;Privada;--;--;--;--;--;--
2019;Sudeste;SP;3501608;Americana;35578563;PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA;Urbana;Estadual;4,2;4,3;10,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35578575;PROFESSORA LENY APPARECIDA PAGOTTO BOER;Urbana;Estadual;3,7;4,3;0,0;6,1;--;--
2019;Sudeste;SP;3501608;Americana;35578587;PROFESSORA ORNELLA RITA FERRARI SACILOTTO;Urbana;Estadual;0,0;0,0;0,0;0,0;--;--
2019;Sudeste;SP;3501608;Americana;35903760;ANTONIETA GHIZINI LENHARE PROFA;Urbana;Estadual;1,2;0,0;3,3;0,0;--;--
